key,item,database_table
bloodburncenser,Bloodburn Censer,C_C_Structure
bloodburncenser,Bloodburn Censer,Held_Items
brazierofharmony,Brazier of Harmony,C_C_Structure
brazierofharmony,Brazier of Harmony,Held_Items
globeofshrouds,Globe of Shrouds,C_C_Structure
globeofshrouds,Globe of Shrouds,Held_Items
lambentperfume,Lambent Perfume,C_C_Structure
lambentperfume,Lambent Perfume,Held_Items
heartstone,Heartstone,Consumables
heartstone,Heartstone,Worn_Items
holywater,Holy Water,Consumables
holywater,Holy Water,Mundane
curseddreamstone,Cursed Dreamstone,Cursed
curseddreamstone,Cursed Dreamstone,Held_Items
loadeddice,Loaded Dice,Held_Items
loadeddice,Loaded Dice,Mundane
duelingcape,Dueling Cape,Mundane
duelingcape,Dueling Cape,Shield_Basic
