item,database_table,possible_vault_matches
Ancestral Predator,Adjustments,Astral (Greater)
Barbed Edges,Adjustments,Barbed Vest
Coat of Arms,Adjustments,
Dragon's Creast,Adjustments,Dragon's Crest; Dragonscale Staff; Dragonscale Amulet
Improved Mirror,Adjustments,
Interior Polish,Adjustments,
Mirror (Shield),Adjustments,Meteor Shield; Burr Shield; Martyr's Shield
Shield Harness,Adjustments,Shield Archon Eyes; Guide Harness
Shield Sheath,Adjustments,
Shield Strap,Adjustments,
Adamantine Flake,Consumables,Adamantine; Adamantine Echo; Adamantine Chunk
Adamantine Flake (Greater),Consumables,
Adamantine Flake (Major),Consumables,
Adamantine Flake (True),Consumables,
Bottled Firefly Swarm,Consumables,
Bottled Firefly Swarm (Greater),Consumables,
Bottled Firefly Swarm (Major),Consumables,
Bottled Firefly Swarm (True),Consumables,
Heartstone Talisman,Consumables,
Magnetic Token,Consumables,Magnet Coin; Magnetic Suit
Prismatic Crystal,Consumables,Prismatic Crystal Shard; Prismatic Dust; Rime Crystal
Stone and Mortar,Consumables,
Tree Sap,Consumables,
Tree Sap (Greater),Consumables,Ready (Greater); Dread (Greater); Trueshape Bomb (Greater)
Venom Pouch,Consumables,
Venom Pouch (Greater),Consumables,
Venom Pouch (Major),Consumables,
Bowstring (5),Mundane,
"Case, crossbow bolt",Mundane,
"Case, map or scroll",Mundane,
Chain (10 ft),Mundane,
Chalk (10 pieces),Mundane,
Chimes,Mundane,Chest
Chimes - Virtuoso (Level 3),Mundane,
Cigar Cutter,Mundane,Carver-Cutter; glass-cutter
Clothing (Explorer's),Mundane,
Clothing (Winter),Mundane,Clothing (Fine); Clothing (Ordinary); Clothing (Cold Weather)
Concealable Picks,Mundane,Thieves' Tools (Concealable Picks)
Concealable Thieves' Tools,Mundane,
Crossbow bolts (10),Mundane,
Exquisite Surprise Doll,Mundane,Doll (Exquisite surprise)
Extendible Pincer,Mundane,Extendable Pincer
Fiddle,Mundane,
Fiddle - Virtuoso (Level 3),Mundane,
Fingerprinting Kit,Mundane,Fingerprint Kit
Flute,Mundane,
Flute - Virtuoso (Level 3),Mundane,
Full Set of Chimes,Mundane,
Full Set of Chimes - Virtuoso (Level 3),Mundane,
Games,Mundane,
Harp,Mundane,Harpoon
Harp - Virtuoso (Level 3),Mundane,
Holly and Mistletoe,Mundane,
Keyboard,Mundane,
Keyboard - Virtuoso (Level 3),Mundane,
Kite,Mundane,
Ladder (10 ft.),Mundane,Ladder (10-foot)
Large Drums,Mundane,
Large Drums - Virtuoso (Level 3),Mundane,
Lute,Mundane,
Lute - Virtuoso (Level 3),Mundane,
Material Component Pouch,Mundane,
Oil,Mundane,
Pan Flute,Mundane,
Pan Flute - Virtuoso (Level 3),Mundane,
Polar Travel Kit,Mundane,
Pole (10-foot),Mundane,Ladder (10-foot)
Puzzle Box (Hollow),Mundane,Puzzle Box (Simple) (Hollow); Puzzle Box (Complex) (Hollow); Puzzle Box (Challenging) (Hollow)
Quiver,Mundane,
Rations (1 week),Mundane,Rations
Recorder,Mundane,
Recorder - Virtuoso (Level 3),Mundane,
Rope (50 ft),Mundane,
Ruler,Mundane,
Satchel,Mundane,
Sheath,Mundane,
Sling bullets (10),Mundane,Sling Bullets
Small Drums,Mundane,
Small Drums - Virtuoso (Level 3),Mundane,
Small Harp,Mundane,
Small Harp - Virtuoso (Level 3),Mundane,
Snare Kit - Specialist (Level 3),Mundane,Snare Kit (Specialist)
Surprise Doll,Mundane,
Tack,Mundane,Sack
Tank (Stationary),Mundane,
Tank (Traveling),Mundane,
Tear-Away Clothing,Mundane,
Ten-Foot Pole,Mundane,
Tent (Four-Person),Mundane,Floating Tent (Four-Person)
Tent (Pup),Mundane,
The Old Mage Deck,Mundane,
Thieves' Toolkit,Mundane,Healer's Toolkit
Thieves' Toolkit (Replacement Picks),Mundane,
Tool (Long),Mundane,
Tool (Short),Mundane,
Torch,Mundane,
Toy Carriage,Mundane,Toy Carriage (Windup); The Marriage
Tracking Tag,Mundane,
Traitor's Ring,Mundane,
Treats (Standard),Mundane,
Treats (Unique),Mundane,
Trumpet,Mundane,The Trumpet
Trumpet - Virtuoso (Level 3),Mundane,
Trundle Wheel,Mundane,
Tuba,Mundane,
Tuba - Virtuoso (Level 3),Mundane,
Viol,Mundane,Vial
Viol - Virtuoso (Level 3),Mundane,
Wooden Taws (per 10),Mundane,Wooden Taws
Aggressive,Runes,
Anarchic,Runes,
Axiomatic,Runes,
Confounding,Runes,Wounding
Dancing,Runes,Advancing; Stanching; Anchoring
Darkness,Runes,Harness
Disrupting,Runes,
Disrupting (Greater),Runes,Rooting (Greater); Striking (Greater); Crushing (Greater)
Energy-Resistant Shield,Runes,Energy-Resistant; Energy-Resistant (Greater)
Energy-Resistant Shield (Greater),Runes,Energy-Resistant (Greater)
Energy-Resistant Shield (Major),Runes,Energy-Resistant
Enlarging,Runes,Energizing
Environmental,Runes,
Environmental (Greater),Runes,
Feather,Runes,Roc Feathers; Stormfeather; Lucky Feather
Floating,Runes,Flaming; Coating; Floating Shield
Glamered,Runes,
Greater Resilient,Runes,Resilient
Greater Striking,Runes,
Major Resilient,Runes,Resilient; Mat of Resilience
Major Striking,Runes,Striking
Merciful,Runes,Merciful Balm; Merciful Charm
Speed,Runes,
Spellbreaking,Runes,Spellbreaking (Illusion); Spellbreaking (Evocation); Spellbreaking (Necromancy)
Spell-Storing,Runes,Spell Bastion; Specialist's Ring
Energy-Resistant - Acid,Runes,Energy-Resistant; Energy-Resistant (Greater)
Energy-Resistant - Cold,Runes,Energy-Resistant; Energy-Resistant (Greater)
Energy-Resistant - Electricity,Runes,Energy Robe of Electricity; Energy-Resistant
Energy-Resistant - Fire,Runes,Energy-Resistant; Energy-Resistant (Greater)
Energy-Resistant - Acid (Greater),Runes,Energy-Resistant (Greater); Energy-Resistant
Energy-Resistant - Cold (Greater),Runes,Energy-Resistant (Greater); Energy-Resistant
Energy-Resistant - Electricity (Greater),Runes,Energy-Resistant (Greater)
Energy-Resistant - Fire (Greater),Runes,Energy-Resistant (Greater); Energy-Resistant
Fist Shield,Shield_Basic,Steel Shield; Lion's Shield; Limestone Shield
Heater Shield,Shield_Basic,Meteor Shield; Hide Shield; dart-shield
Hoplon,Shield_Basic,
Kite Shield,Shield_Basic,Hide Shield; Steel Shield; Spined Shield
Pavise,Shield_Basic,
Scutum,Shield_Basic,
Shield Gauntlet,Shield_Basic,Spiked Gauntlet; Gauntlet
Targe,Shield_Basic,
Tower Shield,Shield_Basic,Steel Shield; Force Shield; Throwing Shield
Viking Shield,Shield_Basic,Shining Shield
Darkwood Shield (High-Grade),Shield_Material,Duskwood Shield (High Grade); Duskwood Tower Shield (High Grade); Dawnsilver Shield (High Grade)
Darkwood Shield (Standard-Grade),Shield_Material,Duskwood Shield (Standard Grade); Duskwood Tower Shield (Standard Grade); Dawnsilver Shield (Standard Grade)
Dragonhide Shield (High-Grade),Shield_Material,Dawnsilver Shield (High Grade); Cold Iron Shield (high Grade); Duskwood Shield (High Grade)
Dragonhide Shield (Standard-Grade),Shield_Material,Dawnsilver Shield (Standard Grade); Cold Iron Shield (Standard Grade); Duskwood Shield (Standard Grade)
Mithral Shield (High-Grade),Shield_Material,Inubrix Shield (High Grade); Abysium Shield (High Grade); Dawnsilver Shield (High Grade)
Mithral Shield (Standard-Grade),Shield_Material,Inubrix Shield (Standard Grade); Abysium Shield (Standard Grade); Dawnsilver Shield (Standard Grade)
Noqual Shield (High-Grade),Shield_Material,Inubrix Shield (High Grade); Cold Iron Shield (high Grade); Abysium Shield (High Grade)
Orichalcum Shield (High-Grade),Shield_Material,Abysium Shield (High Grade); Inubrix Shield (High Grade)
Siccatite Shield (High-Grade),Shield_Material,Adamantine Shield (High Grade); Keep Stone Shield (High Grade); Inubrix Shield (High Grade)
Siccatite Shield (Standard-Grade),Shield_Material,Adamantine Shield (Standard Grade); Inubrix Shield (Standard Grade); Abysium Shield (Standard Grade)
Silver Shield (High-Grade),Shield_Material,Dawnsilver Shield (High Grade); Inubrix Shield (High Grade); Abysium Shield (High Grade)
Silver Shield (Low-Grade),Shield_Material,Cold Iron Shield (Low Grade); Dawnsilver Shield (High Grade)
Silver Shield (Standard-Grade),Shield_Material,Dawnsilver Shield (Standard Grade); Inubrix Shield (Standard Grade); Abysium Shield (Standard Grade)
Breastplate of Command,Specific_Magic_Armor,
Breastplate of Command (Greater),Specific_Magic_Armor,
Celestial Armor,Specific_Magic_Armor,Celestial Hair
Demon Armor,Specific_Magic_Armor,Demon Cruor; Hide Armor
Graveknight Plate,Specific_Magic_Armor,Hellknight Plate
Graveknight Plate (Greater),Specific_Magic_Armor,
Graveknight Plate (Major),Specific_Magic_Armor,
Graveknight Plate (True),Specific_Magic_Armor,
Plate of Yled (Graveknight Plate),Specific_Magic_Armor,Plate of Yled (Greater)
Plate of Yled (Greater Graveknight Plate),Specific_Magic_Armor,
Plate of Yled (Major Graveknight Plate),Specific_Magic_Armor,
Plate of Yled (True Graveknight Plate),Specific_Magic_Armor,
Rhino Hide,Specific_Magic_Armor,Rhino Hide Brooch
Hippotamus Klar,Specific_Magic_Shields,Hippopotamus Klar
Mycoweave Shiled (Major),Specific_Magic_Shields,Mycoweave Shield (Major); Mycoweave Shield (Lesser)
Belicose Dagger,Specific_Magic_Weapons,Bellicose Dagger
Dagger of Venom,Specific_Magic_Weapons,
Dragontooth Club,Specific_Magic_Weapons,
Flame Tongue,Specific_Magic_Weapons,
Flame Tongue (Greater),Specific_Magic_Weapons,Flaming (Greater); Fanged (Greater); Skeleton Key (Greater)
Gearblade (Bastard Sword),Specific_Magic_Weapons,Bastard Sword
Gearblade (Greatclub),Specific_Magic_Weapons,
Gearblade (Greatsword),Specific_Magic_Weapons,Searing Blade (Greater)
Gearblade (Longsword),Specific_Magic_Weapons,
Gearblade (Shortsword),Specific_Magic_Weapons,
Gravekeeper Bow,Specific_Magic_Weapons,
Grave-Tide,Specific_Magic_Weapons,Grave Token
Morphic Weapon,Specific_Magic_Weapons,Morphing Weapon
Rustbringer,Specific_Magic_Weapons,Ruby String
Rustbringer (Greater),Specific_Magic_Weapons,Striking (Greater); Crushing (Greater); Worldringer (Greater)
Splinter Spear,Specific_Magic_Weapons,Splintering Spear; Splintering Spear (Major); Splintering Spear (Greater)
Splinter Spear (Greater),Specific_Magic_Weapons,Splintering Spear (Greater); Lionfish Spear (Greater); Winterstep Elixir (Greater)
Splinter Spear (Major),Specific_Magic_Weapons,Splintering Spear (Major); Splintering Spear
Twining Staff (Bo Staff),Specific_Magic_Weapons,Twining Staff
Twining Staff (Staff),Specific_Magic_Weapons,Twining Staff
Whip-Tounge Sling,Specific_Magic_Weapons,Whip-Tongue Sling
Windlass Bolas,Specific_Magic_Weapons,Windlass Bola
Judgement Thurible,Spellhearts,Judgment Thurible; Judgment Thurible (Major); Judgment Thurible (Greater)
Judgement Thurible (Greater),Spellhearts,Judgment Thurible (Greater); Judgment Thurible (Major); Judgment Thurible
Judgement Thurible (Major),Spellhearts,Judgment Thurible (Major); Judgment Thurible; Judgment Thurible (Greater)
Magic Wand (1st-Level Spell),Staff_Wand,Magic Wand (1st-Rank Spell)
Magic Wand (2nd-Level Spell),Staff_Wand,Magic Wand (2nd-Rank Spell)
Magic Wand (3rd-Level Spell),Staff_Wand,Magic Wand (3rd-Rank Spell)
Magic Wand (4th-Level Spell),Staff_Wand,Magic Wand (4th-Rank Spell); Magic Wand (9th-Rank Spell); Magic Wand (8th-Rank Spell)
Magic Wand (5th-Level Spell),Staff_Wand,Magic Wand (5th-Rank Spell); Magic Wand (9th-Rank Spell); Magic Wand (8th-Rank Spell)
Magic Wand (6th-Level Spell),Staff_Wand,Magic Wand (6th-Rank Spell); Magic Wand (9th-Rank Spell); Magic Wand (8th-Rank Spell)
Magic Wand (7th-Level Spell),Staff_Wand,Magic Wand (7th-Rank Spell); Magic Wand (9th-Rank Spell); Magic Wand (8th-Rank Spell)
Magic Wand (8th-Level Spell),Staff_Wand,Magic Wand (8th-Rank Spell); Magic Wand (9th-Rank Spell); Magic Wand (7th-Rank Spell)
Magic Wand (9th-Level Spell),Staff_Wand,Magic Wand (9th-Rank Spell); Magic Wand (8th-Rank Spell); Magic Wand (7th-Rank Spell)
Spore Shepherd's Staff,Staff_Wand,Spore Shephard's Staff; Spore Shephard's Staff (Major); Spore Shephard's Staff (Greater)
Spore Shepherd's Staff (Greater),Staff_Wand,Spore Shephard's Staff (Greater); Spore Shephard's Staff (Major); Spore Shephard's Staff
Spore Shepherd's Staff (Major),Staff_Wand,Spore Shephard's Staff (Major); Spore Shephard's Staff; Spore Shephard's Staff (Greater)
Staff of Abjuration,Staff_Wand,Staff of Illumination
Staff of Abjuration (Greater),Staff_Wand,Staff of Protection (Greater); Staff of Earth (Greater); Staff of Air (Greater)
Staff of Abjuration (Major),Staff_Wand,Staff of Protection (Major); Staff of Earth (Major); Staff of Air (Major)
Staff of Conjuration,Staff_Wand,Staff of Control
Staff of Conjuration (Greater),Staff_Wand,Staff of Control (Greater); Staff of Protection (Greater); Staff of Air (Greater)
