item,path,database_table,metadata_differences
Abadar's Flawless Scale,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\abadars-flawless-scale.md,Held_Items,"traits: vault='magical', db='Divination, Magical, Uncommon'"
Aboutface Figurehead,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aboutface-figurehead.md,Figurehead_Vehicle,
Absolute Solvent (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\absolute-solvent-greater.md,Alchemical_Items,
Absolute Solvent (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\absolute-solvent-lesser.md,Alchemical_Items,
Absolute Solvent (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\absolute-solvent-moderate.md,Alchemical_Items,
Abysium Armor (High Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\abysium-armor-high-grade.md,Armor_Material,"level: vault='16', db='19'"
Abysium Armor (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\abysium-armor-standard-grade.md,Armor_Material,"level: vault='8', db='12'"
Abysium Chunk,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\abysium-chunk.md,Materials,"level: vault='0', db='0.0'; traits: vault='precious', db='Rare, Precious'"
Abysium Ingot,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\abysium-ingot.md,Materials,"level: vault='0', db='0.0'; traits: vault='precious', db='Rare, Precious'"
Abysium Powder,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\abysium-powder.md,Alchemical_Items,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='alchemical, consumable, contact, poison', db='Alchemical, Consumable, Contact, Poison, Rare'"
Abysium Shield (High Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\abysium-shield-high-grade.md,Shield_Material,"bulk: vault='1', db='L'"
Abysium Shield (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\abysium-shield-standard-grade.md,Shield_Material,
Abysium Weapon (High Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\abysium-weapon-high-grade.md,Weapon_Material,
Abysium Weapon (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\abysium-weapon-standard-grade.md,Weapon_Material,
Accompaniment Cloak,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\accompaniment-cloak.md,Worn_Items,
Accursed Staff (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\accursed-staff-greater.md,Staff_Wand,"page: vault='130', db='13'; traits: vault='magical, staff', db='Magical, Necromancy, Staff'"
Accursed Staff (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\accursed-staff-major.md,Staff_Wand,"page: vault='130', db='13'; traits: vault='magical, staff', db='Magical, Necromancy, Staff'"
Accursed Staff,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\accursed-staff.md,Staff_Wand,"page: vault='130', db='13'; traits: vault='magical, staff', db='Magical, Necromancy, Staff'"
Achaekek's Kiss,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\achaekeks-kiss.md,Alchemical_Items,"traits: vault='alchemical, consumable, injury, poison', db='Alchemical, Consumable, Injury, Poison, Rare'"
Acid Flask (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\acid-flask-greater.md,Alchemical_Items,"source: vault='gmcore', db='playercore2'; page: vault='244', db='283'"
Acid Flask (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\acid-flask-lesser.md,Alchemical_Items,"source: vault='gmcore', db='playercore2'; page: vault='244', db='283'"
Acid Flask (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\acid-flask-major.md,Alchemical_Items,"source: vault='gmcore', db='playercore2'; page: vault='244', db='283'"
Acid Flask (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\acid-flask-moderate.md,Alchemical_Items,"source: vault='gmcore', db='playercore2'; page: vault='244', db='283'"
Acid Spitter,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\acid-spitter.md,Snares,"traits: vault='acid, clockwork, consumable, mechanical, snare, trap', db='Acid, Clockwork, Consumable, Mechanical, Snare, Trap, Uncommon'"
Acrobat's Staff,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\acrobats-staff.md,Specific_Magic_Weapons,"traits: vault='fortune, magical, monk, parry, reach, trip', db='Fortune, Magical, Transmutation'"
Adamantine Armor High (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\adamantine-armor-high-grade.md,Armor_Material,"source: vault='gmcore', db='corerulebook'; page: vault='228', db='555'"
Adamantine Armor (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\adamantine-armor-standard-grade.md,Armor_Material,"source: vault='gmcore', db='corerulebook'; page: vault='228', db='555'"
