path,reason
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\abysium.md,"Invalid YAML: Unsupported frontmatter at line 34: ""  A blue-green metal with an eerie green luminescence, abysium radiates power that's inimical to life. Careless exposure to the material can lead to long-term damage to the immune system; as such, mining abysium is hazardous, as large quantities of the metal in an area cause all nearby creatures to become sick. A creature carrying an abysium object is\xa0[[Sickened|sickened 1]]\xa0for a standard-grade object of light Bulk, [[Sickened|sickened 2]] for a standard-grade object of 1 Bulk or more or a high-grade object of light Bulk, or [[Sickened|sickened 3]] for a high-grade object of 1 Bulk or more. This and all other sickening effects of abysium are\xa0[[poison]]\xa0effects. Crafters can use 1 abysium chunk to create up to 6 doses of poisonous\xa0[[abysium powder]]. Unscrupulous smiths have harnessed abysium's toxic properties to create noxious weapons and deadly substances. All objects crafted from abysium shed dim light in a 10-foot radius."""
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\adamantine.md,"Invalid YAML: Unsupported frontmatter at line 34: '  Mined from rocks that fell from the heavens, adamantine is one of the hardest metals known. It has a shiny, black appearance, and it is prized for its amazing resiliency and ability to hold an incredibly sharp edge.'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-pale-orange-rhomboid.md,Invalid YAML: Unsupported frontmatter at line 34: '  hoarded by mystics and fanatics hoping to discover their secrets. Despite their'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemists-fire-moderate.md,"Invalid YAML: Unsupported frontmatter at line 34: '  exposed to air. ""'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\armor-polishing-kit.md,Invalid YAML: Unsupported frontmatter at line 35: '  that has been maintained by this kit gain a +1 circumstance bonus on Diplomacy checks'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ash-gown.md,"Invalid YAML: Unsupported frontmatter at line 34: ""  from the Plane of Fire. Typically, they're voluminous floor-length dresses or three-piece"""
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\assassins-skin.md,"Invalid YAML: Unsupported frontmatter at line 35: '  [[leather armor]]_ was made from the flayed hide of an Elysian pegasus, then dyed'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\autumns-embrace.md,"Invalid YAML: Unsupported frontmatter at line 35: ""  leaves continually changing colors in autumnal hues comprise _autumn's embrace_,"""
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\B\bewildering-spellgun.md,"Invalid YAML: Unsupported frontmatter at line 34: '  it, creating a mind-bending sensation. Whispers of gibberish arise from it, making'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\B\bloodletting-kukri.md,"Invalid YAML: Unsupported frontmatter at line 36: ""  1d8` 1d8 persistent bleed damage. If the target didn't already have persistent bleed"""
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\B\bomb-launcher.md,"Invalid YAML: Unsupported frontmatter at line 34: '  Inside, it contains a small metal basket sized to hold alchemical bombs. A chute'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\camouflage-dye-greater.md,Invalid YAML: Unsupported frontmatter at line 35: '  crystals to make the user particularly hard to distinguish from their surroundings.'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\charm-of-resistance-major.md,"Invalid YAML: Unsupported frontmatter at line 35: '  or sonic. Each charm is crafted to protect against a particular type of energy damage,'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chronomancer-staff.md,"Invalid YAML: Unsupported frontmatter at line 35: '  staff_, the hands of the clocks continually ticking or winding backward. Used as'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\climbing-bolt.md,"Invalid YAML: Unsupported frontmatter at line 34: '  a solid surface, the twine unwinds and enlarges into a 50-foot-long rope, securely'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-bookshelf.md,"Invalid YAML: Unsupported frontmatter at line 34: ""  they wanted to access than available wall space to store them. Each of the bookshelf's"""
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-box-packer.md,"Invalid YAML: Unsupported frontmatter at line 34: '  shipping docks to make use of it, but some nobles have purchased the item for their'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-chirper.md,Invalid YAML: Unsupported frontmatter at line 34: '  be wound up and perched on a tree branch or ledge. The Tiny clockwork remains immobile'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-cloak.md,"Invalid YAML: Unsupported frontmatter at line 35: ""  You're struck by a melee attack with a held weapon  * * *  **Effect** The folds"""
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron.md,"Invalid YAML: Unsupported frontmatter at line 34: '  Weapons made from cold iron are deadly to demons and fey alike. Cold iron looks like normal iron but is mined from particularly pure sources and shaped with little or no heat. This process is extremely difficult, especially for high-grade cold iron items.'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cube-of-force.md,"Invalid YAML: Unsupported frontmatter at line 40: ""  You hold the cube aloft and depress one of its six faces for several seconds. The cube creates six walls around you, creating a cube 10 feet on each side centered on you (typically centered on the top of your space if you're a Medium creature). If a creature or object overlaps any of these walls, that face of the cube doesn't appear; this also means if you're Huge or larger, the activation has no effect, as your space is larger than the cube would be. The duration and effect of the six walls depends on which face of the cube you press when you Activate the cube, as seen on the Cube Effects table (below). Pressing the sixth cube face with a simple Interact action Dismisses the effect; doing so isn't an activation and thus doesn't count against the cube's frequency. The walls have the AC, Hit Points, and Hardness of a [[Wall of Force]]."""
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cube-of-nex.md,"Invalid YAML: Unsupported frontmatter at line 40: ""  You hold the cube aloft and depress one of its six faces for several seconds. The cube creates six walls around you, creating a cube 10 feet on each side centered on you (typically centered on the top of your space if you're a Medium creature). If a creature or object overlaps any of these walls, that face of the cube doesn't appear; this also means if you're Huge or larger, the activation has no effect, as your space is larger than the cube would be. The effect of the six walls depends on which face of the cube you press when you Activate the cube, as seen on the Cube Effects table (below). Pressing the sixth cube face with a simple Interact action Dismisses the effect; doing so isn't an activation and thus doesn't count against the cube's frequency. The walls have the AC, Hit Points, and Hardness of a [[Wall of Force]] You must first Dismiss any previous activation before you use it again A cube of force or Lesser Cube of Nex within 60 feet of you becomes inert. It can't be Activated, any current activation ends, and any constant abilities it has cease to function."""
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cursebreak-bulwark.md,"Invalid YAML: Unsupported frontmatter at line 34: '  lined with metal. The tiles are painted a verdant green, and each is marked with'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\dawnsilver.md,Invalid YAML: Unsupported frontmatter at line 36: '  | **Dawnsilver Items** | **Hardness** | **HP** | **BT** |'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\depth-charge-i.md,Invalid YAML: Unsupported frontmatter at line 33: '<<<<<<< Updated upstream'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\depth-gauge.md,Invalid YAML: Unsupported frontmatter at line 10: '<<<<<<< Updated upstream'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\druids-crown.md,Invalid YAML: Unsupported frontmatter at line 40: '  The crown casts its spell at 2nd level (DC 20).'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\duskwood.md,"Invalid YAML: Unsupported frontmatter at line 34: ""  Duskwood is a very lightweight wood found primarily in old-growth forests in south-central Avistan; it is dark as ebony but has a slight purple tint. A duskwood item's Bulk is reduced by 1 (or to light Bulk if its normal Bulk is 1, with no effect on an item that normally has light Bulk). The Price of an item made of duskwood is based on the item's normal Bulk, not its reduced Bulk for being made of duskwood, but reduce the Bulk before making any further Bulk adjustments for the size of the item."""
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\dust-of-appearance.md,"Invalid YAML: Unsupported frontmatter at line 35: '  When you fling it in the air, it coats all creatures in a 10-foot burst centered'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\dwarven-waraxe.md,"Invalid YAML: Unsupported frontmatter at line 35: '  on a thick handle. This powerful axe can be wielded with one hand or two.""'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\E\energizing-lattice.md,Invalid YAML: Unsupported frontmatter at line 35: '  [[lattice armor]]_ has latticework of fine golden wire. After negating a critical'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\E\energy-breath-potion-greater.md,"Invalid YAML: Unsupported frontmatter at line 34: ""  Distilled from the energy of dangerous spells, an\xa0_energy breath potion_\xa0grants you the Energy Breath action for 1 hour after you imbibe the concoction. The potency of the breath depends on the potion's type, based on how long the distilled ingredients were aged. This potion has the trait matching the damage type."""
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\E\energy-breath-potion-lesser.md,"Invalid YAML: Unsupported frontmatter at line 34: ""  Distilled from the energy of dangerous spells, an\xa0_energy breath potion_\xa0grants you the Energy Breath action for 1 hour after you imbibe the concoction. The potency of the breath depends on the potion's type, based on how long the distilled ingredients were aged. This potion has the trait matching the damage type."""
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\E\energy-breath-potion-moderate.md,"Invalid YAML: Unsupported frontmatter at line 34: ""  Distilled from the energy of dangerous spells, an\xa0_energy breath potion_\xa0grants you the Energy Breath action for 1 hour after you imbibe the concoction. The potency of the breath depends on the potion's type, based on how long the distilled ingredients were aged. This potion has the trait matching the damage type."""
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\E\erraticannon.md,Invalid YAML: Unsupported frontmatter at line 36: '  | d8  | Damage Type | '
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\E\explosive-ammunition-greater.md,"Invalid YAML: Unsupported frontmatter at line 35: '  _greater explosive ammunition_ hits a target, the missile explodes in a 10-foot'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\F\fiendish-teleportation.md,Invalid YAML: Unsupported frontmatter at line 34: '  you gain a +3 item bonus to Armor Class against reactions triggered by your movement.'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\F\flying-broomstick.md,"Invalid YAML: Unsupported frontmatter at line 34: '  even while stowed. You can ride on the broom using one hand to guide it, and the'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\F\folding-boat-(greater).md,"Invalid YAML: Unsupported frontmatter at line 35: ""  boat can take two shapes. The first is a wooden box that's 12 inches long, 6 inches"""
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\F\folding-boat.md,"Invalid YAML: Unsupported frontmatter at line 35: ""  boat can take two shapes. The first is a wooden box that's 12 inches long, 6 inches"""
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\F\folding-drums.md,"Invalid YAML: Unsupported frontmatter at line 34: '  percussion instrument]] into a hand drum (1 Bulk), a marching drum set with a shoulder'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\F\fortification-greater.md,"Invalid YAML: Unsupported frontmatter at line 34: ""  Each time you're critically hit while wearing the etched armor, attempt a DC 14"""
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\F\frost-brand.md,Invalid YAML: Unsupported frontmatter at line 34: '  (Greater)]] greatsword_ appears to be nothing but icy shards. The _frost brand_'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\F\frost-breath.md,"Invalid YAML: Unsupported frontmatter at line 34: '  crown of the world. After inhaling frost breath, you gain resistance 5 to cold.'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\F\frost-fair-yanyuedao.md,Invalid YAML: Unsupported frontmatter at line 34: '  statistics for glaive) once wielded by a legendary military general from Goka. This'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\F\fu-water.md,"Invalid YAML: Unsupported frontmatter at line 34: '  and imparting it with a variety of purifying effects. Unlike many fulu items, fu'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ganjay-book-(1-bulk-book).md,Invalid YAML: Unsupported frontmatter at line 34: '  creased-possibly by Princess Ganjay herself-to fold up into an impossibly small'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ganjay-book-(light-bulk-book).md,Invalid YAML: Unsupported frontmatter at line 34: '  creased-possibly by Princess Ganjay herself-to fold up into an impossibly small'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ghost-ammunition.md,Invalid YAML: Unsupported frontmatter at line 34: '  has the benefits of the _[[Equipment/Ghost Touch|Ghost Touch]]_ property rune and'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ghost-charge-(greater).md,Invalid YAML: Unsupported frontmatter at line 34: '  contain a mixture of chemicals and salts that drain and disintegrate nearby undead'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ghost-charge-(lesser).md,Invalid YAML: Unsupported frontmatter at line 34: '  contain a mixture of chemicals and salts that drain and disintegrate nearby undead'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ghost-charge-(major).md,Invalid YAML: Unsupported frontmatter at line 34: '  contain a mixture of chemicals and salts that drain and disintegrate nearby undead'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ghost-charge-(moderate).md,Invalid YAML: Unsupported frontmatter at line 34: '  contain a mixture of chemicals and salts that drain and disintegrate nearby undead'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ghost-courier-fulu.md,"Invalid YAML: Unsupported frontmatter at line 34: '  courier fulu_ leaves space for a message, and a prominent red stamp indicates which'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ghost-delivery-fulu.md,"Invalid YAML: Unsupported frontmatter at line 34: '  dovecote with spirits around it, and it has a prominent stamp in red wax. This fulu'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ghost-dust.md,Invalid YAML: Unsupported frontmatter at line 34: '  in Stealth  * * *  This small vial is filled with a grayish-green dust rendered'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ghost-fowl-porridge.md,"Invalid YAML: Unsupported frontmatter at line 34: '  \\  This robust porridge—made from a cockatrice distilled into a broth, hot peppers'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ghost-ink.md,"Invalid YAML: Unsupported frontmatter at line 34: '  rapidly, becoming fully transparent 1 minute after application. The ink glows red'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ghost-lantern.md,Invalid YAML: Unsupported frontmatter at line 34: '  lenses that emit a pale gray light when the lantern is lit. Anything this light'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ghost-oil.md,"Invalid YAML: Unsupported frontmatter at line 34: ""  cold to the touch. Applying _ghost oil_ to a melee weapon you're wielding or carrying"""
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ghost-scarf.md,"Invalid YAML: Unsupported frontmatter at line 34: '  of Souls while worn, providing illumination equivalent to that of a candle. You'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ghost-touch.md,"Invalid YAML: Unsupported frontmatter at line 34: '  A _ghost touch_ weapon is particularly effective against incorporeal creatures,'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ghostbane-fulu.md,Invalid YAML: Unsupported frontmatter at line 34: '  You successfully Strike an incorporeal creature with the weapon to which the fulu'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ghostcallers-planchette-(greater).md,"Invalid YAML: Unsupported frontmatter at line 34: '  attract spirits. When affixed, the symbols begin to glow, and the planchette turns'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ghostcallers-planchette.md,"Invalid YAML: Unsupported frontmatter at line 34: '  attract spirits. When affixed, the symbols begin to glow, and the planchette turns'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\ghosthands-comet.md,"Invalid YAML: Unsupported frontmatter at line 34: ""  pattern along the metal, and its stock is formed of crimson wood. _Ghosthand's Comet_"""
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\giant-squid-lash.md,Invalid YAML: Unsupported frontmatter at line 35: '  have been twisted together to form this robust _[[Weapon Potency (+1)|+1]] [[Wounding]]'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\glaive-of-the-artist.md,"Invalid YAML: Unsupported frontmatter at line 35: '  striking]] [[glaive]]_ has a long, multi-tailed rainbow-colored banner affixed to'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\G\grappling-gun-(clockwork).md,Invalid YAML: Unsupported frontmatter at line 34: '  feet of thin metal cord and can fire a grappling hook up to 100 feet. To reload'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\H\harrow-deck-simple.md,"Invalid YAML: Unsupported frontmatter at line 34: '""'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\H\hydra-mutagen.md,Invalid YAML: Unsupported frontmatter at line 35: '  cognitive ability but also causing your physical capabilities to be impaired as'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\I\indomitable-keepsake-greater.md,"Invalid YAML: Unsupported frontmatter at line 34: '  in a pocket or attached to the inside of a piece of armor. ""'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\I\indomitable-keepsake-major.md,"Invalid YAML: Unsupported frontmatter at line 34: '  in a pocket or attached to the inside of a piece of armor. ""'"
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\I\infiltrators-accessory.md,Invalid YAML: Unsupported frontmatter at line 35: '  serves equally well as a fashionable accessory and hidden weapon suitable for high-society'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\I\instinct-crown-animal.md,Invalid YAML: Unsupported frontmatter at line 34: '  instincts that barbarians draw upon in combat. Each crown is fashioned to represent'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\I\instinct-crown-dragon.md,Invalid YAML: Unsupported frontmatter at line 34: '  instincts that barbarians draw upon in combat. Each crown is fashioned to represent'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\I\instinct-crown-fury.md,Invalid YAML: Unsupported frontmatter at line 34: '  instincts that barbarians draw upon in combat. Each crown is fashioned to represent'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\I\instinct-crown-giant.md,Invalid YAML: Unsupported frontmatter at line 34: '  instincts that barbarians draw upon in combat. Each crown is fashioned to represent'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\I\instinct-crown-spirit.md,Invalid YAML: Unsupported frontmatter at line 34: '  instincts that barbarians draw upon in combat. Each crown is fashioned to represent'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\I\instinct-crown-superstition.md,Invalid YAML: Unsupported frontmatter at line 34: '  instincts that barbarians draw upon in combat. Each crown is fashioned to represent'
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\I\inubrix.md,"Invalid YAML: Unsupported frontmatter at line 34: ""  This pale, malleable metal's unusual molecular structure allows it to partially pass through iron and steel without touching them. While this property is useful for making weapons that bypass metal armor, inubrix is barely sturdier than lead. Even in an alloyed state, this skymetal is so fragile that it's difficult to use in crafting reliable shields and less than ideal for crafting armor."""
F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\J\jabalis-dice.md,Invalid YAML: Unsupported frontmatter at line 43: '  | **Roll**  | **Result**                                                                                                                                                     |'
