item,path,target_layout,possible_database_matches,export_errors,Name,Source,Rarity,Traits,ItemLevel,AddedPrice,AddedPricePerBulk,Prerequisite,Type,Publisher_Source,Subtype,Cost,Curse,Bulk,Adventuring,Alchemist,Arcane,Blacksmith,Scribe,Bowyer,General,Jewelry,Leatherworker,Music_Games,Illicit,Tailor,Temple,Armorer,Weaponsmith,Tattooist
Ablative Armor Plating (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ablative-armor-plating-greater.md,worn_item,,,Ablative Armor Plating (Greater),Pathfinder Guns & Gears pg. 66,uncommon,"consumable, gadget",7,,,,,Paizo,,70,,1,,,,,,,,,,,,,,,,
Ablative Armor Plating (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ablative-armor-plating-lesser.md,worn_item,,,Ablative Armor Plating (Lesser),Pathfinder Guns & Gears pg. 66,uncommon,"consumable, gadget",1,,,,,Paizo,,4,,1,,,,,,,,,,,,,,,,
Ablative Armor Plating (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ablative-armor-plating-major.md,worn_item,,,Ablative Armor Plating (Major),Pathfinder Guns & Gears pg. 66,uncommon,"consumable, gadget",13,,,,,Paizo,,600,,1,,,,,,,,,,,,,,,,
Ablative Armor Plating (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ablative-armor-plating-moderate.md,worn_item,,,Ablative Armor Plating (Moderate),Pathfinder Guns & Gears pg. 66,uncommon,"consumable, gadget",3,,,,,Paizo,,12,,1,,,,,,,,,,,,,,,,
Ablative Armor Plating (True),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ablative-armor-plating-true.md,worn_item,,,Ablative Armor Plating (True),Pathfinder Guns & Gears pg. 66,uncommon,"consumable, gadget",19,,,,,Paizo,,8000,,1,,,,,,,,,,,,,,,,
Ablative Shield Plating (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ablative-shield-plating-greater.md,worn_item,,,Ablative Shield Plating (Greater),Pathfinder Guns & Gears pg. 67,uncommon,"consumable, gadget",7,,,,,Paizo,,70,,1,,,,,,,,,,,,,,,,
Ablative Shield Plating (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ablative-shield-plating-lesser.md,worn_item,,,Ablative Shield Plating (Lesser),Pathfinder Guns & Gears pg. 67,uncommon,"consumable, gadget",1,,,,,Paizo,,4,,1,,,,,,,,,,,,,,,,
Ablative Shield Plating (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ablative-shield-plating-major.md,worn_item,,,Ablative Shield Plating (Major),Pathfinder Guns & Gears pg. 67,uncommon,"consumable, gadget",13,,,,,Paizo,,600,,1,,,,,,,,,,,,,,,,
Ablative Shield Plating (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ablative-shield-plating-moderate.md,worn_item,,,Ablative Shield Plating (Moderate),Pathfinder Guns & Gears pg. 67,uncommon,"consumable, gadget",3,,,,,Paizo,,12,,1,,,,,,,,,,,,,,,,
Ablative Shield Plating (True),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ablative-shield-plating-true.md,worn_item,,,Ablative Shield Plating (True),Pathfinder Guns & Gears pg. 67,uncommon,"consumable, gadget",19,,,,,Paizo,,8000,,1,,,,,,,,,,,,,,,,
Abysium Buckler (High Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\abysium-buckler-high-grade.md,material,Abysium Armor (High-Grade); Abysium Weapon (High-Grade); Abysium Shield (High-Grade),,Abysium Buckler (High Grade),Pathfinder Lost Omens Grand Bazaar pg. 96,rare,,16,8000,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Abysium Buckler (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\abysium-buckler-standard-grade.md,material,Abysium Armor (Standard-Grade); Abysium Weapon (Standard-Grade); Abysium Shield (Standard-Grade),,Abysium Buckler (Standard Grade),Pathfinder Lost Omens Grand Bazaar pg. 96,rare,,8,400,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Abysium Object (High Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\abysium-object-high-grade.md,material,Abysium Armor (High-Grade); Abysium Weapon (High-Grade); Abysium Shield (High-Grade),,Abysium Object (High Grade),Pathfinder Lost Omens Grand Bazaar pg. 96,rare,precious,16,7500,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Abysium Object (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\abysium-object-standard-grade.md,material,Abysium Armor (Standard-Grade); Abysium Weapon (Standard-Grade); Abysium Shield (Standard-Grade),,Abysium Object (Standard Grade),Pathfinder Lost Omens Grand Bazaar pg. 96,rare,precious,8,450,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Abysium,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\abysium.md,worn_item,Abysium Ingot; Abysium Chunk,,Abysium,Pathfinder Lost Omens Grand Bazaar pg. 96,rare,precious,0,,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Accolade Robe (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\accolade-robe-greater.md,worn_item,Cloister Robe (Greater),,Accolade Robe (Greater),Pathfinder GM Core pg. 284,,"arcane, focused, invested",17,,,,,Paizo,,13500,,L,,,,,,,,,,,,,,,,
Accolade Robe,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\accolade-robe.md,worn_item,,,Accolade Robe,Pathfinder GM Core pg. 284,,"arcane, focused, invested",10,,,,,Paizo,,1000,,L,,,,,,,,,,,,,,,,
Adamantine Buckler (High Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\adamantine-buckler-high-grade.md,material,Adamantine Armor (High-Grade); Adamantine Weapon (High-Grade); Adamantine Shield (High-Grade),,Adamantine Buckler (High Grade),Pathfinder GM Core pg. 233,uncommon,,16,8000,,,,Paizo,,,,,,,,,,,,,,,,,,,,
