Name,Source,Rarity,Traits,ItemLevel,AddedPrice,AddedPricePerBulk,Prerequisite,Type,Publisher_Source
Abysium Buckler (High Grade),Pathfinder Lost Omens Grand Bazaar pg. 96,rare,,16,8000,,,,Paizo
Abysium Buckler (Standard Grade),Pathfinder Lost Omens Grand Bazaar pg. 96,rare,,8,400,,,,Paizo
Abysium Object (High Grade),Pathfinder Lost Omens Grand Bazaar pg. 96,rare,precious,16,7500,,,,Paizo
Abysium Object (Standard Grade),Pathfinder Lost Omens Grand Bazaar pg. 96,rare,precious,8,450,,,,Paizo
Adamantine Buckler (High Grade),Pathfinder GM Core pg. 233,uncommon,,16,8000,,,,Paizo
Adamantine Buckler (Standard Grade),Pathfinder GM Core pg. 233,uncommon,,8,400,,,,Paizo
Adamantine Object (High Grade),Pathfinder GM Core pg. 253,uncommon,precious,16,6000,,,,Paizo
Adamantine Object (Standard Grade),Pathfinder GM Core pg. 253,uncommon,precious,8,350,,,,Paizo
Alloy Orb (Exquisite High-Grade),Pathfinder GM Core pg. 263,uncommon,"consumable, magical, talisman",18,4500,,,,Paizo
Alloy Orb (Exquisite Standard-Grade),Pathfinder GM Core pg. 263,uncommon,"consumable, magical, talisman",12,400,,,,Paizo
Alloy Orb (High-Grade),Pathfinder GM Core pg. 263,,"consumable, magical, talisman",16,1500,,,,Paizo
Alloy Orb (Low-Grade),Pathfinder GM Core pg. 263,,"consumable, magical, talisman",3,10,,,,Paizo
Alloy Orb (Standard-Grade),Pathfinder GM Core pg. 263,,"consumable, magical, talisman",8,80,,,,Paizo
Cold Iron Buckler (High Grade),Pathfinder GM Core pg. 233,,,15,5000,,,,Paizo
Cold Iron Buckler (Low Grade),Pathfinder GM Core pg. 233,,,2,30,,,,Paizo
Cold Iron Buckler (Standard Grade),Pathfinder GM Core pg. 233,,,7,300,,,,Paizo
Cold Iron Object (High Grade),Pathfinder GM Core pg. 253,,precious,15,4500,,,,Paizo
Cold Iron Object (Low Grade),Pathfinder GM Core pg. 253,,precious,2,20,,,,Paizo
Cold Iron Object (Standard Grade),Pathfinder GM Core pg. 253,,precious,7,250,,,,Paizo
Dawnsilver Buckler (High Grade),Pathfinder GM Core pg. 233,uncommon,,16,8000,,,,Paizo
Dawnsilver Buckler (Standard Grade),Pathfinder GM Core pg. 233,uncommon,,8,400,,,,Paizo
Dawnsilver Object (High Grade),Pathfinder GM Core pg. 254,uncommon,precious,16,6000,,,,Paizo
Dawnsilver Object (Standard Grade),Pathfinder GM Core pg. 253,uncommon,precious,8,350,,,,Paizo
Dawnsilver Shield (High Grade),Pathfinder GM Core pg. 233,uncommon,,16,8800,,,,Paizo
Dawnsilver Shield (Standard Grade),Pathfinder GM Core pg. 233,uncommon,,8,440,,,,Paizo
Djezet Alloy Object (High Grade),Pathfinder Lost Omens Grand Bazaar pg. 97,rare,precious,16,7000,,,,Paizo
Djezet Alloy Object (Standard Grade),Pathfinder Lost Omens Grand Bazaar pg. 97,rare,precious,8,400,,,,Paizo
Djezet Buckler (High Grade),Pathfinder Lost Omens Grand Bazaar pg. 98,rare,,16,8000,,,,Paizo
Djezet Buckler (Standard Grade),Pathfinder Lost Omens Grand Bazaar pg. 98,rare,,9,600,,,,Paizo
Dragonhide Armor (High Grade),Pathfinder Player Core 2 pg. 276,uncommon,,19,32000,3200,,,Paizo
Dragonhide Armor (Standard Grade),Pathfinder Player Core 2 pg. 276,uncommon,,12,1600,160,,,Paizo
Dragonhide Buckler (High Grade),Pathfinder Player Core 2 pg. 277,uncommon,,16,8000,,,,Paizo
Dragonhide Buckler (Standard Grade),Pathfinder Player Core 2 pg. 277,uncommon,,8,400,,,,Paizo
Dragonhide Shield (High Grade),Pathfinder Player Core 2 pg. 277,uncommon,,16,8800,,,,Paizo
Dragonhide Shield (Standard Grade),Pathfinder Player Core 2 pg. 277,uncommon,,8,440,,,,Paizo
Duskwood Buckler (High Grade),Pathfinder GM Core pg. 233,uncommon,,16,8000,,,,Paizo
Duskwood Buckler (Standard Grade),Pathfinder GM Core pg. 233,uncommon,,8,400,,,,Paizo
Duskwood Object (High Grade),Pathfinder GM Core pg. 254,uncommon,precious,16,6000,,,,Paizo
Duskwood Object (Standard Grade),Pathfinder GM Core pg. 254,uncommon,precious,8,350,,,,Paizo
Duskwood Shield (High Grade),Pathfinder GM Core pg. 233,uncommon,,16,8800,,,,Paizo
Duskwood Shield (Standard Grade),Pathfinder GM Core pg. 233,uncommon,,8,440,,,,Paizo
Duskwood Tower Shield (High Grade),Pathfinder GM Core pg. 233,uncommon,,16,11200,,,,Paizo
