Name,ItemLevel,Type,Subtype,Cost,Curse,Traits,Rarity,Bulk,Source,Adventuring,Alchemist,Arcane,Blacksmith,Scribe,Bowyer,General,Jewelry,Leatherworker,Music_Games,Illicit,Tailor,Temple,Armorer,Weaponsmith,Tattooist,Publisher_Source
Ablative Armor Plating (Greater),7,,,70,,"consumable, gadget",uncommon,1,Pathfinder Guns & Gears pg. 66,,,,,,,,,,,,,,,,,Paizo
Ablative Armor Plating (Lesser),1,,,4,,"consumable, gadget",uncommon,1,Pathfinder Guns & Gears pg. 66,,,,,,,,,,,,,,,,,Paizo
Ablative Armor Plating (Major),13,,,600,,"consumable, gadget",uncommon,1,Pathfinder Guns & Gears pg. 66,,,,,,,,,,,,,,,,,Paizo
Ablative Armor Plating (Moderate),3,,,12,,"consumable, gadget",uncommon,1,Pathfinder Guns & Gears pg. 66,,,,,,,,,,,,,,,,,Paizo
Ablative Armor Plating (True),19,,,8000,,"consumable, gadget",uncommon,1,Pathfinder Guns & Gears pg. 66,,,,,,,,,,,,,,,,,Paizo
Ablative Shield Plating (Greater),7,,,70,,"consumable, gadget",uncommon,1,Pathfinder Guns & Gears pg. 67,,,,,,,,,,,,,,,,,Paizo
Ablative Shield Plating (Lesser),1,,,4,,"consumable, gadget",uncommon,1,Pathfinder Guns & Gears pg. 67,,,,,,,,,,,,,,,,,Paizo
Ablative Shield Plating (Major),13,,,600,,"consumable, gadget",uncommon,1,Pathfinder Guns & Gears pg. 67,,,,,,,,,,,,,,,,,Paizo
Ablative Shield Plating (Moderate),3,,,12,,"consumable, gadget",uncommon,1,Pathfinder Guns & Gears pg. 67,,,,,,,,,,,,,,,,,Paizo
Ablative Shield Plating (True),19,,,8000,,"consumable, gadget",uncommon,1,Pathfinder Guns & Gears pg. 67,,,,,,,,,,,,,,,,,Paizo
Abysium,0,,,,,precious,rare,,Pathfinder Lost Omens Grand Bazaar pg. 96,,,,,,,,,,,,,,,,,Paizo
Accolade Robe (Greater),17,,,13500,,"arcane, focused, invested",,L,Pathfinder GM Core pg. 284,,,,,,,,,,,,,,,,,Paizo
Accolade Robe,10,,,1000,,"arcane, focused, invested",,L,Pathfinder GM Core pg. 284,,,,,,,,,,,,,,,,,Paizo
Adamantine Echo,5,,,0,,"earth, invested, magical, relic",unique,L,Pathfinder #193: Mantle of Gold pg. 83,,,,,,,,,,,,,,,,,Paizo
Adamantine,0,,,,,precious,uncommon,,Pathfinder GM Core pg. 253,,,,,,,,,,,,,,,,,Paizo
Adaptive Cogwheel,2,,,5,,"consumable, magical, talisman",,,Pathfinder Guns & Gears pg. 84,,,,,,,,,,,,,,,,,Paizo
Admonishing Band,4,,,20,,"consumable, magical, talisman",,,Pathfinder Guns & Gears pg. 184,,,,,,,,,,,,,,,,,Paizo
Aeon Stone (Envisioning),8,,,425,,"invested, magical",uncommon,,Pathfinder GM Core pg. 284,,,,,,,,,,,,,,,,,Paizo
Aeon Stone (Formulating),4,,,75,,"invested, magical",uncommon,,Pathfinder #213: Thirst for Blood,,,,,,,,,,,,,,,,,Paizo
Aeon Stone (Peering),16,,,8500,,"invested, magical",uncommon,,Pathfinder GM Core pg. 284,,,,,,,,,,,,,,,,,Paizo
Aeon Stone (Preserving),5,,,150,,"invested, magical",uncommon,,Pathfinder GM Core pg. 284,,,,,,,,,,,,,,,,,Paizo
